1	2	3
3prime_overlapping_ncrna	4	25	0
IG_C_gene	0	14	0
IG_C_pseudogene	1	8	0
IG_D_gene	0	37	0
IG_J_gene	0	18	0
IG_J_pseudogene	0	3	0
IG_V_gene	0	142	0
IG_V_pseudogene	35	145	0
Mt_rRNA	0	0	2
Mt_tRNA	0	0	22
TEC	1	1044	0
TR_C_gene	0	5	0
TR_D_gene	0	3	0
TR_J_gene	0	73	0
TR_J_pseudogene	0	4	0
TR_V_gene	0	106	0
TR_V_pseudogene	2	28	0
antisense	887	4678	0
lincRNA	1086	6569	1
macro_lncRNA	0	1	0
miRNA	0	0	4093
misc_RNA	0	0	2298
non_coding	0	3	0
polymorphic_pseudogene	3	56	0
processed_pseudogene	8053	2249	2
processed_transcript	68	416	0
protein_coding	5498	14067	249
pseudogene	0	0	36
rRNA	0	0	544
ribozyme	0	0	8
sRNA	0	0	20
scaRNA	0	0	49
sense_intronic	64	856	0
sense_overlapping	18	179	0
snRNA	0	0	1896
snoRNA	0	8	953
transcribed_processed_pseudogene	312	131	0
transcribed_unitary_pseudogene	0	1	0
transcribed_unprocessed_pseudogene	99	564	0
translated_processed_pseudogene	1	0	0
translated_unprocessed_pseudogene	0	1	0
unitary_pseudogene	19	150	0
unprocessed_pseudogene	425	2149	0
vaultRNA	0	1	0
